"","Player","Team","GW1","GW2","GW3","GW4","GW5","GW6","GW7","GW8","GW9","GW10","GW11","GW12","GW13","GW14","GW15","GW16","GW17","GW18","GW19","GW20","GW21","GW22","GW23","GW24","GW25","GW26","GW27","GW28","GW29","GW30","GW31","GW32","GW33","GW34","GW35","GW36","GW37","GW38","CAP1","CAP2","CAP3","CAP4","CAP5","CAP6","CAP7","CAP8","CAP9","CAP10","CAP11","CAP12","CAP13","CAP14","CAP15","CAP16","CAP17","CAP18","CAP19","CAP20","CAP21","CAP22","CAP23","CAP24","CAP25","CAP26","CAP27","CAP28","CAP29","CAP30","CAP31","CAP32","CAP33","CAP34","CAP35","CAP36","CAP37","CAP38","PLAY1","PLAY2","PLAY3","PLAY4","PLAY5","PLAY6","PLAY7","PLAY8","PLAY9","PLAY10","PLAY11","PLAY12","PLAY13","PLAY14","PLAY15","PLAY16","PLAY17","PLAY18","PLAY19","PLAY20","PLAY21","PLAY22","PLAY23","PLAY24","PLAY25","PLAY26","PLAY27","PLAY28","PLAY29","PLAY30","PLAY31","PLAY32","PLAY33","PLAY34","PLAY35","PLAY36","PLAY37","PLAY38"
"21","Sterling","Man City",NA,NA,NA,1,13,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vice-captain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Benched","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Özil","Arsenal",NA,NA,NA,2,2,10,3,10,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Costa","Chelsea",NA,NA,NA,12,6,1,12,9,2,7,9,9,5,12,16,2,6,0,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vice-captain","Vice-captain","Vice-captain","Vice-captain","Vice-captain","Vice-captain","Vice-captain",NA,NA,NA,NA,"Captain","Vice-captain","Vice-captain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Benched","Played","Played","Benched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Lukaku","Everton",NA,NA,NA,17,24,2,8,8,10,24,2,2,1,1,12,2,2,NA,NA,NA,5,2,2,21,2,6,6,12,32,2,2,13,12,4,2,NA,NA,NA,NA,NA,NA,NA,"Captain",NA,NA,NA,"Captain","Captain","Vice-captain","Vice-captain","Vice-captain","Vice-captain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vice-captain","Captain",NA,NA,NA,"Captain","Captain",NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA
"25","Firmino","Liverpool",NA,NA,NA,NA,NA,2,12,3,5,6,15,3,3,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Mustafi","Arsenal",NA,NA,NA,NA,NA,NA,NA,1,5,2,2,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Son","Spurs",NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Stanislas","Bournemouth",NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Benched","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Azpilicueta","Chelsea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,2,9,8,12,6,1,1,6,7,2,2,2,2,2,NA,2,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Benched","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA
"30","Gündogan","Man City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benched","Benched","Benched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
